fid,id,left,top,right,bottom,SAMPLE_1
"121",598,811401.1777,1170642.0518,816401.1777,1165642.0518,-1786.88647460938
"122",599,811401.1777,1165642.0518,816401.1777,1160642.0518,-1748.97131347656
"123",603,811401.1777,1145642.0518,816401.1777,1140642.0518,-1729.98657226562
"124",614,816401.1777,1180642.0518,821401.1777,1175642.0518,-1729.98657226562
"125",615,816401.1777,1175642.0518,821401.1777,1170642.0518,-1710.98303222656
"126",617,816401.1777,1165642.0518,821401.1777,1160642.0518,-1729.98657226562
"127",619,816401.1777,1155642.0518,821401.1777,1150642.0518,-1767.93774414062
"128",621,816401.1777,1145642.0518,821401.1777,1140642.0518,-1691.9599609375
"129",622,816401.1777,1140642.0518,821401.1777,1135642.0518,-1710.98303222656
"130",634,821401.1777,1170642.0518,826401.1777,1165642.0518,-1767.93774414062
"131",636,821401.1777,1160642.0518,826401.1777,1155642.0518,-1729.98657226562
"132",651,826401.1777,1175642.0518,831401.1777,1170642.0518,-1748.97131347656
"133",652,826401.1777,1170642.0518,831401.1777,1165642.0518,-1748.97131347656
"134",654,826401.1777,1160642.0518,831401.1777,1155642.0518,-1786.88647460938
"135",656,826401.1777,1150642.0518,831401.1777,1145642.0518,-1710.98303222656
"136",670,831401.1777,1170642.0518,836401.1777,1165642.0518,-1748.97131347656
"137",672,831401.1777,1160642.0518,836401.1777,1155642.0518,-1748.97131347656
"138",689,836401.1777,1165642.0518,841401.1777,1160642.0518,-1729.98657226562
"139",691,836401.1777,1155642.0518,841401.1777,1150642.0518,-1710.98303222656
"140",692,836401.1777,1150642.0518,841401.1777,1145642.0518,-1729.98657226562
"141",696,836401.1777,1130642.0518,841401.1777,1125642.0518,-1710.98303222656
"142",697,836401.1777,1125642.0518,841401.1777,1120642.0518,
"143",708,841401.1777,1160642.0518,846401.1777,1155642.0518,-1729.98657226562
"144",709,841401.1777,1155642.0518,846401.1777,1150642.0518,-1748.97131347656
"145",711,841401.1777,1145642.0518,846401.1777,1140642.0518,-1710.98303222656
"146",713,841401.1777,1135642.0518,846401.1777,1130642.0518,-1710.98303222656
"147",715,841401.1777,1125642.0518,846401.1777,1120642.0518,-1729.98657226562
"148",717,841401.1777,1115642.0518,846401.1777,1110642.0518,-1691.9599609375
"149",719,841401.1777,1105642.0518,846401.1777,1100642.0518,-1653.8515625
"150",727,846401.1777,1155642.0518,851401.1777,1150642.0518,-1691.9599609375
"151",730,846401.1777,1140642.0518,851401.1777,1135642.0518,-1729.98657226562
"152",732,846401.1777,1130642.0518,851401.1777,1125642.0518,-1748.97131347656
"153",734,846401.1777,1120642.0518,851401.1777,1115642.0518,-1710.98303222656
"154",736,846401.1777,1110642.0518,851401.1777,1105642.0518,-1615.65625
"155",746,851401.1777,1150642.0518,856401.1777,1145642.0518,-1710.98303222656
"156",747,851401.1777,1145642.0518,856401.1777,1140642.0518,-1710.98303222656
"157",749,851401.1777,1135642.0518,856401.1777,1130642.0518,-1710.98303222656
"158",750,851401.1777,1130642.0518,856401.1777,1125642.0518,-1748.97131347656
"159",752,851401.1777,1120642.0518,856401.1777,1115642.0518,-1691.9599609375
"160",754,851401.1777,1110642.0518,856401.1777,1105642.0518,
